id,category,regional_word,standard_word,en_word,regional_sentence,standard_sentence,en_sentence,word_type
220,"word","göbelek","mantar","mushroom","Ormanda çokça göbelek bulduk.","Ormanda çokça mantar bulduk.","We found plenty of mushrooms in the forest.","noun"
221,"word","göde","şişman","fat","Göde biri hızlı koşamaz.","Şişman biri hızlı koşamaz.","A fat person can't run fast.","adjective"
222,"word","gön","deri","leather","Bu çanta gön malzemeden yapılmış.","Bu çanta deri malzemeden yapılmış.","This bag is made of leather.","noun"
223,"word","halva","helva","halva","Bayramda bolca halva yapıldı.","Bayramda bolca helva yapıldı.","A lot of halva was made during the holiday.","noun"
224,"word","haral","büyük çuval","big sack","Unları harala doldurdular.","Unları büyük çuvala doldurdular.","They filled the big sack with flour.","noun"
225,"word","hayıf","intikam","revenge","Yaptıklarının hayıfını alacağım.","Yaptıklarının intikamını alacağım.","I will take revenge for what was done.","noun"
226,"word","helik","küçük taş parçası","small stone","Ayakkabımın içine bir helik girmiş.","Ayakkabımın içine küçük bir taş parçası girmiş.","A small stone got into my shoe.","noun"
227,"word","heril","ipek","silk","Bu elbise tamamen herilden yapılmış.","Bu elbise tamamen ipekten yapılmış.","This dress is made entirely of silk.","noun"
228,"word","hıllangaç","salıncak","swing","Bahçeye yeni bir hıllangaç kurduk.","Bahçeye yeni bir salıncak kurduk.","We set up a new swing in the garden.","noun"
229,"word","hıltan","kürdan","toothpick","Yemekten sonra bir hıltan al.","Yemekten sonra bir kürdan al.","Take a toothpick after the meal.","noun"
230,"word","hobilik","yuvarlak","round","Bu taş epey hobilik.","Bu taş epey yuvarlak.","This stone is quite round.","adjective"
231,"word","horalı","komik","funny","O çocuk çok horalı şeyler anlatıyor.","O çocuk çok komik şeyler anlatıyor.","That kid tells very funny things.","adjective"
232,"word","horanta","kalabalık","crowd","Düğünde büyük bir horanta vardı.","Düğünde büyük bir kalabalık vardı.","There was a big crowd at the wedding.","noun"
233,"word","hota","kabadayı","bully","Mahallede bir hota dolaşıyor.","Mahallede bir kabadayı dolaşıyor.","A bully is roaming around the neighborhood.","noun"
234,"word","ırahmatlık","rahmetli","deceased","Bu ev ırahmatlık dedemden kaldı.","Bu ev rahmetli dedemden kaldı.","This house belonged to my deceased grandfather.","noun"
235,"word","ışgın","filiz","sprout","Dağdan taze ışgın topladık.","Dağdan taze filiz topladık.","We gathered fresh sprouts from the mountain.","noun"
236,"word","ışgıye","eşkıya","bandit","Köye ışgıyeler dadanmış.","Köye eşkıyalar dadanmış.","Bandits have started to raid the village.","noun"
237,"word","idare","lamba","lamp","Gece idareyle oturduk.","Gece lambayla oturduk.","We sat with a lamp at night.","noun"
238,"word","iliksiz","iğne","needle","Düğmeyi iliksizle diktim.","Düğmeyi iğneyle diktim.","I sewed the button with a needle.","noun"
239,"word","kellenkeste","kertenkele","lizard","Duvarın üstünde bir kellenkeste vardı.","Duvarın üstünde bir kertenkele vardı.","There was a lizard on the wall.","noun"
240,"word","kemın","kimyon","cumin","Yemeğe biraz kemın attım.","Yemeğe biraz kimyon attım.","I added some cumin to the food.","noun"
241,"word","keri","sonra","later","Yemekten keri gelirim.","Yemekten sonra gelirim.","I'll come after dinner.","adverb"
242,"word","kertiş","kertenkele","lizard","Bahçede kertiş gördüm.","Bahçede kertenkele gördüm.","I saw a lizard in the garden.","noun"
243,"word","kesme","meşe","oak","Bu masa kesmeden yapılmış.","Bu masa meşeden yapılmış.","This table is made of oak.","noun"
244,"word","kiktik","küçük sabun","small soap","Otelde bir kiktik verdiler.","Otelde küçük bir sabun verdiler.","They gave a small soap at the hotel.","noun"
245,"word","kindel","tas","bowl","Çorbayı kindelle içtik.","Çorbayı tasla içtik.","We drank the soup with a bowl.","noun"
246,"word","kolan","halat","rope","Ağacı kolanla bağladık.","Ağacı halatla bağladık.","We tied the tree with a rope.","noun"
247,"word","kömbe","börek","pastry","Annem kömbe yaptı.","Annem börek yaptı.","My mom made pastry.","noun"
248,"word","köçek","külot","underwear","Köçeklerini değiştir.","Külotunu değiştir.","Change your underwear.","noun"
249,"word","köryapalak","yarasa","bat","Mağaranın içinde köryapalak vardı.","Mağaranın içinde yarasa vardı.","There was a bat inside the cave.","noun"
250,"word","köstü","köstebek","mole","Bahçeye köstü dadanmış.","Bahçeye köstebek dadanmış.","A mole has infested the garden.","noun"
251,"word","köşt","iskemle","stool","Köşte oturuyordu.","İskemlede oturuyordu.","He was sitting on the stool.","noun"
252,"word","köynek","atlet","undershirt","Havanın sıcağında sadece köynek giydi.","Havanın sıcağında sadece atlet giydi.","He wore only an undershirt in the hot weather.","noun"
253,"word","küncü","susam","sesame","Poğaçanın üstüne küncü serptim.","Poğaçanın üstüne susam serptim.","I sprinkled sesame on the pastry.","noun"
254,"word","künde","her gün","every day","Künde aynı saatte gelir.","Her gün aynı saatte gelir.","He comes at the same time every day.","adverb"
255,"word","lemerme","nemlenme","moisture","Camın üzerinde lemerme olmuş.","Camın üzerinde nemlenme olmuş.","There's moisture on the glass.","noun"
256,"word","lepe","lapa","mush","Pilav yine lepe olmuş.","Pilav yine lapa olmuş.","The rice turned to mush again.","noun"
257,"word","lök","büyük salyangoz","large snail","Yolda bir lök vardı.","Yolda büyük bir salyangoz vardı.","There was a large snail on the road.","noun"
258,"word","lös","hantal","clumsy","O biraz lös biridir.","O biraz hantal biridir.","He's a bit clumsy.","adjective"
259,"word","löstür","şişman","fat","Löstür adam kapıdan zor geçti.","Şişman adam kapıdan zor geçti.","The fat man barely fit through the door.","adjective"
260,"word","mahrama","havlu","towel","Yüzümü mahramayla sildim.","Yüzümü havluyla sildim.","I wiped my face with a towel.","noun"
261,"word","malama","tortu","residue","Çayın dibinde malama kalmış.","Çayın dibinde tortu kalmış.","There is residue at the bottom of the tea.","noun"
262,"word","malamat","rezil","disgraced","Bu işi yapamazsan malamat olursun.","Bu işi yapamazsan rezil olursun.","If you can't do this job, you'll be disgraced.","adjective"
263,"word","mangır","para","money","Cebinde hiç mangır kalmamış.","Cebinde hiç para kalmamış.","He has no money left in his pocket.","noun"
264,"word","maraz","hastalık","illness","O adam bir maraz geçiriyor.","O adam bir hastalık geçiriyor.","That man is going through an illness.","noun"
265,"word","meke","mısır","corn","Tarlada meke ekiyorlar.","Tarlada mısır ekiyorlar.","They are planting corn in the field.","noun"
266,"word","mıcık","çamur","mud","Ayakkabım mıcığa battı.","Ayakkabım çamura battı.","My shoe got stuck in the mud.","noun"
267,"word","mıdıklı","alıngan","sensitive","O biraz mıdıklı bir insan.","O biraz alıngan bir insan.","He's a bit of a sensitive person.","adjective"
268,"word","mık","çivi","nail","Tahtayı mıkla sabitledim.","Tahtayı çiviyle sabitledim.","I fixed the board with a nail.","noun"
269,"word","mıktar","muhtar","village headman","Mahallenin mıktarı çok iyi biridir.","Mahallenin muhtarı çok iyi biridir.","The village headman is a very good person.","noun"
270,"word","mıraz","istek","wish","İçimde bir mıraz var.","İçimde bir istek var.","I have a wish inside me.","noun"
271,"word","miltan","gömlek","shirt","Yeni bir miltan aldım.","Yeni bir gömlek aldım.","I bought a new shirt.","noun"
272,"word","mottik","küçük taş","pebble","Ayağımın altına bir mottik battı.","Ayağımın altına küçük bir taş battı.","A pebble got under my foot.","noun"
273,"word","mucuk","küçük sinek","gnat","Odada bir sürü mucuk vardı.","Odada bir sürü küçük sinek vardı.","There were lots of gnats in the room.","noun"
274,"word","nacak","balta","axe","Odunları nacakla kestim.","Odunları baltayla kestim.","I cut the wood with an axe.","noun"
275,"word","oba","yabancı yurt","foreign land","Obada yaşamak zordur.","Yabancı yurtta yaşamak zordur.","Living in a foreign land is difficult.","noun"
276,"word","örsümek","yürümek","to walk","Sabah erken örsümeye çıktım.","Sabah erken yürümeye çıktım.","I went out for a walk early in the morning.","verb"
277,"word","palıt","palamut","acorn","Domuzlar palıt peşinde koşar.","Domuzlar palamut peşinde koşar.","Boars run after acorns.","noun"
278,"word","patısga","patiska","muslin cloth","Elbiseyi patısgadan diktik.","Elbiseyi patiskadan diktik.","We sewed the dress from muslin cloth.","noun"
279,"word","peh","çok güzel","so beautiful","Bu yemek peh olmuş.","Bu yemek çok güzel olmuş.","This food is so delicious.","adjective"
280,"word","pehlil","zavallı","poor thing","O pehlil çocuğa yardım et.","O zavallı çocuğa yardım et.","Help that poor child.","adjective"
281,"word","pereden","aniden","suddenly","Pereden içeri girdi.","Aniden içeri girdi.","He suddenly came in.","adverb"
282,"word","pırtı","elbise","clothes","Pırtılarını toplamış gitmiş.","Elbiselerini toplamış gitmiş.","He packed his clothes and left.","noun"
283,"word","pısmak","saklanmak","to hide","Kedi dolaba pısmış.","Kedi dolaba saklanmış.","The cat hid in the cupboard.","verb"
284,"word","pin","kümes","coop","Tavuklar pinde yatıyor.","Tavuklar kümeste yatıyor.","The chickens are lying in the coop.","noun"
285,"word","pontil","pantolon","trousers","Yeni pontil aldım.","Yeni pantolon aldım.","I bought new trousers.","noun"
286,"word","portmak","boşanmak","to divorce","Artık portmaya karar verdik.","Artık boşanmaya karar verdik.","We have decided to divorce.","verb"
287,"word","püsü","kedi","cat","Püsü camın önünde uyuyor.","Kedi camın önünde uyuyor.","The cat is sleeping by the window.","noun"
288,"word","sabık","acele","hurry","Sabık davran biraz!","Acele et biraz!","Hurry up a bit!","noun"
289,"word","salı","ipucu","clue","Bana biraz salı ver.","Bana biraz ipucu ver.","Give me a little clue.","noun"
290,"word","saprasekil","gelişigüzel","random","Eşyaları saprasekil koymuş.","Eşyaları gelişigüzel koymuş.","He placed the items randomly.","adjective"
291,"word","seen","tabak","plate","Seen dolusu yemek getirdi.","Tabak dolusu yemek getirdi.","He brought a plate full of food.","noun"
292,"word","sıklat","sıcak","hot","Hava çok sıklat bugün.","Hava çok sıcak bugün.","It's very hot today.","adjective"
293,"word","sıygal","kaygan","slippery","Zemin sıygal olmuş, dikkat et.","Zemin kaygan olmuş, dikkat et.","The floor is slippery, be careful.","adjective"
294,"word","sille","tokat","slap","Bir sille vurdu geçti.","Bir tokat vurdu geçti.","He slapped and passed by.","noun"
295,"word","soğukluk","semiz otu","purslane","Tarlada soğukluk toplamaya gittik.","Tarlada semiz otu toplamaya gittik.","We went to pick purslane in the field.","noun"
296,"word","süllüm","merdiven","ladder","Çatıya süllümle çıktık.","Çatıya merdivenle çıktık.","We climbed the roof with a ladder.","noun"
297,"word","süük","çelenk","wreath","Kapıya süük astık.","Kapıya çelenk astık.","We hung a wreath on the door.","noun"
298,"word","şarlak","çağlayan","cascade","Şarlak gibi su akıyor.","Çağlayan gibi su akıyor.","The water flows like a cascade.","noun"
299,"word","şelek","yük","load","O şeleği taşımak zor.","O yükü taşımak zor.","That load is hard to carry.","noun"
300,"word","şifan","yulaf","oat","Atlara şifan verdik.","Atlara yulaf verdik.","We fed oats to the horses.","noun"
301,"word","şinci","şimdi","now","Şinci gidelim mi?","Şimdi gidelim mi?","Shall we go now?","adverb"
302,"word","şipidik","alkış","applause","Çocuklar şipidik yaptı.","Çocuklar alkış yaptı.","The children applauded.","noun"
303,"word","şire","tatlı","dessert","Bayramda bolca şire olur.","Bayramda bolca tatlı olur.","There’s a lot of dessert during the holiday.","noun"
304,"word","şivşirmek","kışkırtmak","provoke","Kardeşini şivşirme durmadan.","Kardeşini kışkırtma durmadan.","Stop provoking your brother.","verb"
305,"word","şor","laf","talk","Çok şor yapma.","Çok laf yapma.","Don't talk too much.","noun"
306,"word","tapkı","sopa","stick","Çocuk eline tapkı almış.","Çocuk eline sopa almış.","The child took a stick in his hand.","noun"
307,"word","tarpadan","aniden","suddenly","Tarpadan dışarı fırladı.","Aniden dışarı fırladı.","He suddenly rushed outside.","adverb"
308,"word","tavlak","ceviz","walnut","Bahçede tavlak topladık.","Bahçede ceviz topladık.","We collected walnuts in the garden.","noun"
309,"word","teberik","biricik","beloved","O benim teberik arkadaşımdır.","O benim biricik arkadaşımdır.","He is my beloved friend.","adjective"
310,"word","teh","çok güzel","very beautiful","Bu yemek teh olmuş.","Bu yemek çok güzel olmuş.","This food turned out very delicious.","adjective"
311,"word","telis","keten torba","linen bag","Patatesleri telise koyduk.","Patatesleri keten torbaya koyduk.","We put the potatoes in a linen bag.","noun"
312,"word","tengerek","yuvarlak","round","Tengerek masa aldık.","Yuvarlak masa aldık.","We bought a round table.","adjective"
313,"word","teşt","leğen","basin","Çamaşırları teştte yıkadım.","Çamaşırları leğende yıkadım.","I washed the clothes in the basin.","noun"
314,"word","tevir","çeşit","variety","Pazarda her tevir meyve vardı.","Pazarda her çeşit meyve vardı.","There was every variety of fruit in the market.","noun"
315,"word","tırıs","hızlı","fast","At tırıs gidiyor.","At hızlı gidiyor.","The horse is going fast.","adjective"
316,"word","tingmek","fırlamak","to dart","Kedi aniden tingdi.","Kedi aniden fırladı.","The cat darted out suddenly.","verb"
317,"word","tinkitmek","sıçratmak","to splash","Suyu tinkitti her yere.","Suyu her yere sıçrattı.","He splashed the water everywhere.","verb"
318,"word","töde","saman yığını","haystack","İnek tödede yatıyordu.","İnek saman yığınının üzerinde yatıyordu.","The cow was lying on the haystack.","noun"
319,"word","tusbaa","kaplumbağa","turtle","Bahçede bir tusbaa bulduk.","Bahçede bir kaplumbağa bulduk.","We found a turtle in the garden.","noun"
320,"word","umsuluk","bunalmak","to feel overwhelmed","Bu sıcakta insan umsuluk oluyor.","Bu sıcakta insan bunalıyor.","People feel overwhelmed in this heat.","verb"
321,"word","üçgül","yonca","clover","Tarlada üçgül çoktu.","Tarlada yonca çoktu.","There was a lot of clover in the field.","noun"
322,"word","ürtmek","mağlup etmek","to defeat","Rakibini kolayca ürttü.","Rakibini kolayca mağlup etti.","He easily defeated his opponent.","verb"
323,"word","ütüzlenmek","süslenmek","to get dolled up","Düğün için ütüzlenmiş.","Düğün için süslenmiş.","She got dolled up for the wedding.","verb"
324,"word","üvez","sivrisinek","mosquito","Geceleri üvez çok olur.","Geceleri sivrisinek çok olur.","There are many mosquitoes at night.","noun"
325,"word","vayvilim","ağıt","lament","Ölümüne vayvilim yakıldı.","Ölümüne ağıt yakıldı.","A lament was sung for his death.","noun"
326,"word","vıddırıvızzık","işe yaramaz","useless","Bu alet vıddırıvızzık.","Bu alet işe yaramaz.","This tool is useless.","adjective"
327,"word","vızzık","izmarit","cigarette butt","Yerde hep vızzık vardı.","Yerde hep izmarit vardı.","There were cigarette butts all over the ground.","noun"
328,"word","vizzo","huylandırmak","to creep out","Beni vizzo etti bu ses.","Bu ses beni huylandırdı.","This sound creeped me out.","verb"
329,"word","yadırgı","yabancı","stranger","Köyde yadırgı görünce şaşırdılar.","Köyde yabancı görünce şaşırdılar.","They were surprised to see a stranger in the village.","adjective"
330,"word","yalık","eşarp","scarf","Başına yılık bağlamış.","Başına eşarp bağlamış.","She tied a scarf around her head.","noun"
331,"word","yapık","kirli saç","messy hair","Saçların çok yapık olmuş.","Saçların çok kirli olmuş.","Your hair looks very dirty.","adjective"
332,"word","yavsı","sinek","fly","Yavsı dolmuş içeri.","Sinek dolmuş içeri.","Flies came inside.","noun"
333,"word","yeğni","hafif","light","Bu yemek yeğni olmuş.","Bu yemek hafif olmuş.","This meal is light.","adjective"
334,"word","yekinmek","kalkmak","to rise","Yavaşça yerinden yekindi.","Yavaşça yerinden kalktı.","He slowly rose from his place.","verb"
335,"word","yılgın","bıkkın","weary","Bu işten yılgın düştü.","Bu işten bıkkın düştü.","He grew weary of this job.","adjective"
336,"word","yırak","uzun","long","Bu yol yırak gider.","Bu yol uzun gider.","This road goes on for long.","adjective"
337,"word","yumuş","iş","task","Bugün çok yumuş vardı.","Bugün çok iş vardı.","There was a lot of work today.","noun"
338,"word","yületmek","keskinleştirmek","to sharpen","Bıçağı yülettim.","Bıçağı keskinleştirdim.","I sharpened the knife.","verb"
339,"word","zaati","zaten","already","Zaati biliyordum.","Zaten biliyordum.","I already knew.","adverb"
340,"word","zıbarmak","ölmek","to die","Adam oracıkta zıbarmış.","Adam oracıkta ölmüş.","The man died right there.","verb"
341,"word","zibil","hayvan gübresi","manure","Tarlaya zibil döktüler.","Tarlaya hayvan gübresi döktüler.","They spread manure on the field.","noun"
342,"word","zobu","işe yaramaz","worthless","Bu soba tam zobu.","Bu soba tam işe yaramaz.","This stove is completely worthless.","adjective"
343,"word","zumzuk","yumruk","punch","Yüzüne bir zumzuk yedi.","Yüzüne bir yumruk yedi.","He got punched in the face.","noun"
344,"word","banak","lokma","bite","Banaktan bir tane aldı.","Lokmadan bir tane aldı.","He took one bite.","noun"
345,"word","gölbez","köpek yavrusu","puppy","Bahçede bir gölbez koşuyordu.","Bahçede bir köpek yavrusu koşuyordu.","A puppy was running in the yard.","noun"
346,"word","kömüş","manda","buffalo","Kömüş gölde yıkanıyordu.","Manda gölde yıkanıyordu.","The buffalo was bathing in the lake.","noun"
347,"word","terek","raf","shelf","Kitapları tereğe dizdi.","Kitapları rafa dizdi.","He arranged the books on the shelf.","noun"
348,"word","caru","çalışkan","hardworking","O çok caru bir öğrenci.","O çok çalışkan bir öğrenci.","He is a very hardworking student.","adjective"
349,"word","deyda","orada","there","Deyda bekliyor.","Orada bekliyor.","He is waiting there.","adverb"
350,"word","ahacuk","burada","here","Ahacuk kalacağız.","Burada kalacağız.","We will stay here.","adverb"



